Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2011,1,9,10,3,44.2,4,1,6.5,,,0,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,1,13,16,16,41.0,3,1,7.0,,,0,VANUATU,VANUATU ISLANDS,-20.628,168.471,0.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2,11,20,5,30.7,4,1,6.8,,,0,CHILE,CENTRAL CHILE,-36.474,-73.125,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,9,2,45,20.0,4,1,7.3,,,0,JAPAN,HONSHU ISLAND,38.435,142.842,0.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,9,21,24,1.0,4,1,6.3,,,0,JAPAN,OFF SANRIKU,38.296,142.808,0.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,11,5,46,24.1,4,1,9.1,,,9,JAPAN,HONSHU ISLAND,38.297,142.373,39.26,6421,,,,18428.0,4.0,,,6167.0,4.0,220136.6,4.0,123661.0,4.0,280920.0,4.0,18428.0,4.0,,,6167.0,4.0,220136.6,4.0,123661.0,4.0,280920.0,4.0
,2011,4,7,14,32,43.2,4,1,7.1,,,0,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08,1,,,,,,,,,,,,,,,,3.0,1.0,,,132.0,3.0,,1.0,,,,
,2011,5,10,8,55,9.0,4,1,6.8,,,0,NEW CALEDONIA,LOYALTY ISLANDS,-20.244,168.226,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,6,24,3,9,39.4,4,1,7.3,,,0,USA,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,7,6,19,3,18.2,4,1,7.6,,,0,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
