magnitude,depth,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
6.6,10.0,1,1,1,4,0
7.4,10.0,1,0,1,4,0
7.2,14.0,1,0,1,4,0
6.5,5.0,0,1,1,0,0
6.5,13.4,1,1,0,1,0
6.9,188.6,0,0,2,1,0
6.6,21.0,0,0,0,1,0
6.7,65.8,1,0,1,0,0
6.5,228.4,1,0,1,2,0
6.6,187.1,0,0,1,0,0
6.7,25.7,0,0,3,0,0
7.3,10.0,0,0,3,0,0
7.0,16.6,0,0,3,0,0
6.7,17.4,1,1,2,0,0
7.3,10.0,1,1,1,7,0
6.6,10.0,0,0,1,0,0
6.5,33.0,0,0,2,0,0
6.5,8.382,0,0,0,1,0
6.8,10.0,1,1,0,2,0
6.6,35.0,0,0,0,7,0
6.5,35.0,0,1,3,1,0
6.6,113.7,1,0,0,1,0
7.0,10.0,1,1,0,3,0
6.7,32.0,1,0,0,5,0
6.7,10.0,0,0,3,0,0
6.5,25.0,1,0,0,4,0
7.3,16.0,0,0,2,0,0
7.4,33.0,1,1,0,5,0
8.16,27.0,1,0,0,5,0
6.6,10.0,0,0,1,0,0
7.2,28.0,0,1,0,1,0
7.6,10.0,1,1,1,0,0
6.5,33.0,1,1,3,2,0
6.8,33.0,0,1,0,2,0
6.9,174.8,0,0,1,0,0
6.6,33.0,1,1,2,3,0
7.0,31.0,1,1,1,2,0
7.0,68.0,0,0,0,2,0
6.8,12.0,1,0,0,1,0
6.5,33.0,1,1,1,0,0
6.8,40.2,1,1,2,1,0
7.6,24.0,1,0,0,1,0
6.5,24.0,1,0,0,2,0
7.3,33.0,1,1,1,3,0
6.7,71.9,1,1,1,1,0
6.7,34.0,1,1,1,0,0
7.9,4.2,0,0,2,0,0
7.4,30.0,1,0,0,2,0
6.6,4.2,0,0,1,0,0
6.7,10.0,0,0,4,0,0
7.6,10.0,1,0,4,0,0
6.5,21.0,1,0,1,0,0
7.6,13.0,1,0,5,0,0
6.5,30.0,1,0,1,0,0
6.5,10.0,1,0,1,2,0
6.5,10.0,0,0,0,1,0
6.6,54.0,0,1,1,2,0
6.7,33.0,1,1,1,4,0
7.1,85.7,1,1,2,0,0
6.7,62.0,0,0,1,0,0
6.8,24.9,1,1,0,1,0
7.1,32.8,1,1,0,1,0
6.5,125.1,0,0,1,1,0
7.5,31.0,1,1,1,2,0
7.4,225.6,0,0,0,5,0
6.6,39.0,0,1,1,6,0
6.5,5.0,0,0,0,2,0
6.7,11.0,0,1,2,0,0
6.6,10.0,1,1,2,5,0
7.2,21.0,1,1,2,5,0
6.8,16.0,1,1,0,1,0
6.8,14.0,1,1,0,1,0
6.5,123.8,0,0,0,1,0
7.8,10.0,0,0,1,0,0
7.0,33.0,0,1,0,5,0
7.5,33.0,1,1,1,0,0
7.0,37.0,1,1,1,1,0
6.5,33.0,0,1,1,1,0
6.6,131.8,0,0,2,0,0
