tsunami,magnitude,depth,latitude,longitude,Year,Month
0,5.4,140.0,16.9087,-93.8167,2024,8
0,5.1,3.2959,32.746,-100.692,2024,7
0,5.4,10.0,18.2141,-105.628,2024,4
0,5.6,10.0,26.2173,-110.508,2024,4
0,5.06,3.0,35.5343,-96.7638,2024,2
0,5.4,17.533,37.9845,-9.538,2024,8
0,5.4,16.067,42.9936,18.6796,2024,3
0,5.7,222.966,-19.1251,-67.3038,2024,9
0,5.5,267.235,-22.2935,-65.9607,2024,8
1,7.4,127.291,-23.1243,-67.8715,2024,7
0,5.6,176.0,-17.4037,-69.4991,2024,7
0,5.8,23.0,-15.5726,-74.7689,2024,7
0,5.4,13.49,-15.9895,-74.7421,2024,7
0,5.4,21.807,-16.1686,-74.3463,2024,6
0,6.1,18.0,-16.1219,-74.5791,2024,6
1,7.2,24.0,-15.8106,-74.4447,2024,6
0,5.5,106.228,-3.8887,-76.6968,2024,6
0,6.0,27.0,-15.9192,-74.5392,2024,6
0,6.5,621.081,-8.2154,-71.3672,2024,1
0,5.3,113.11,-22.1579,-68.682,2024,1
0,5.3,202.477,-23.3523,-66.6742,2024,1
0,6.6,607.0,-7.3193,-71.5055,2024,1
0,5.4,175.245,-21.9201,-67.253,2024,1
0,5.6,61.708,-21.9025,-70.2778,2023,12
0,6.2,93.0,-15.9595,-72.6028,2023,12
0,5.5,191.769,-24.1126,-66.8382,2023,12
0,5.7,14.0,-14.3528,-76.474,2023,12
0,5.8,112.0,-19.1959,-69.0592,2023,12
0,6.0,253.0,-22.8844,-66.2242,2023,10
0,5.6,571.448,-23.6067,-63.6564,2023,10
0,5.7,8.0,-27.3252,-71.5543,2023,9
0,5.3,110.914,-20.6514,-68.5222,2023,9
0,5.5,21.043,-27.1542,-71.2479,2023,9
0,6.2,554.0,-26.9212,-63.3389,2023,8
0,5.4,40.35,-3.2512,-79.8994,2023,8
0,5.4,23.218,-16.1071,-75.0833,2023,8
0,5.8,135.0,-23.9264,-67.9077,2023,7
0,5.5,15.711,31.6412,131.796,2024,9
0,5.7,28.953,29.7999,130.855,2024,9
0,6.1,14.0,23.784,121.759,2024,8
0,5.4,11.732,24.3858,121.917,2024,8
1,6.5,402.166,47.1777,144.763,2024,8
0,5.3,18.196,31.8881,131.341,2024,8
0,7.1,24.0,31.7491,131.482,2024,8
0,5.6,91.0,33.536,140.175,2024,7
0,5.4,34.723,33.4887,141.284,2024,6
0,5.7,9.0,37.4574,137.239,2024,6
0,5.5,392.698,32.2768,137.61,2024,5
0,5.4,59.788,26.1835,141.391,2024,5
0,5.8,11.296,24.191,121.899,2024,5
0,5.2,28.949,23.7143,121.588,2024,5
0,5.6,23.605,23.7257,121.581,2024,5
0,5.2,40.475,24.2257,121.706,2024,4
0,5.7,37.767,24.1449,121.674,2024,4
0,5.3,10.0,28.7699,142.53,2024,4
0,5.8,12.0,23.8026,121.676,2024,4
0,5.4,8.991,23.808,121.634,2024,4
0,5.4,5.83,23.698,121.574,2024,4
0,5.5,17.0,23.6512,121.606,2024,4
0,6.1,10.0,23.8672,121.538,2024,4
1,6.1,9.0,23.7241,121.641,2024,4
0,5.8,8.0,23.7288,121.562,2024,4
0,5.6,10.0,23.7158,121.63,2024,4
0,6.3,32.0,33.1621,132.387,2024,4
0,5.9,7.556,29.4708,131.736,2024,4
0,5.4,26.386,40.9054,143.213,2024,4
0,6.1,29.0,37.7196,141.924,2024,4
0,5.7,41.798,24.1954,121.932,2024,4
0,5.7,26.363,23.7873,121.784,2024,4
0,5.3,16.869,23.8555,121.803,2024,4
0,5.6,14.297,24.1465,121.743,2024,4
0,5.3,10.789,23.9598,121.595,2024,4
0,5.6,15.864,24.1609,121.71,2024,4
0,6.4,13.931,24.0651,121.673,2024,4
1,7.4,40.0,23.819,121.562,2024,4
